Над;above [эбов]
Через;across [акрос]
После;after [афтэр]
Вместо чего-то (замена);instead [инстэд]
Воздушные пути;airways [эруэйз]
Вдоль;along [элонг]
Количество;amount [эмáунт]
Подотчетный;answerable [ансвэрэбл]
Кто-нибудь;anyone [эниуан]
Что-нибудь;anything [энисинг]
Появляться;appear [эпир]
Область;area [эриа]
Рука;arm [арм]
Вокруг;around [эраунд]
Просить;ask for [аск фор]
Внимание;attention [этэншн]
Избегать;avoid [эвойд]
Вперед, дальше;forward [фо́рвэрд]
Барсук;badger [бэджэр]
Мяч;ball [бол]
Основа;base [бэйс]
Из-за;because of [бикоз оф]
Становиться;become [бикам]
До;before [бифор]
Позади;behind [бихайнд]
Верить;believe [билёв]
Ниже, под;below [билоу]
Между;between [битвин]
Оба,Обе;both [боуз]
Сломаться;break down [брейк даун]
Приносить;bring [бринг]
Укреплять, Накопить что-то;build up [билд ап]
Позвать кого-то;call out [кол аут]
Нести (Иметь при себе);carry [кэри]
Развивать, Разрабатывать;develop [дивэлоп]
Регистрироваться;check in [чек ин]
Близко к (чему либо);close to [клоуз ту]
Возвращаться;come back [кам бэк]
Состояние;condition [кэндишн]
Продолжать;continue [континью]
Стоить или стоимость;cost [кост]
Покрывать, накрывать (покрывало);cover [кавер]
Производить;produce [продьюс]
Отрезать, прервать;cut off [кат оф]
Сделка или справляться с чем-то;deal [диил]
Решать (принимать решение);decide [дисайд]
Разный;different [дифрэнт]
Во время (какого то процесса);during [дьюринг]
Как;like [лайк] или as [эз]
