Помехи (сигнал);Crosstalk
Раковина;Sink
Забор;Fence
Кран;Faucet
Мост;Bridge
Плита;Stove
Лист;Leaf
Холодильник;Refrigerator
Ветер;Wind
Микроволновка;Microwave
Песок;Sand
Занавеска;Curtain
Туман;Fog
Ковёр;Carpet
Холм;Hill
Стёганое одеяло;Quilt
Поле;Field
Одеяло;Blanket
Свеча;Candle
Корзина для белья;Laundry basket
Конверт;Envelope
Утюг;Iron
Подушка;Pillow
Плечики;Clothes hanger
Полка;Shelf
Сушилка;Dryer
Щётка;Brush
Метла;Broom
Полотенце;Towel
Совок;Dustpan
Стена;Wall
Якорь;Anchor
Крыша;Roof
Дрель;Drill
Вилка (электрическая);Plug
Шуруповёрт;Cordless drill
Провод;Wire
Лом;Crowbar
Розетка;Socket
Тиски;Vise
Выключатель;Switch
Жидкость для посуды;Dish soap
Отвёртка;Screwdriver
Губка;Sponge
Молоток;Hammer
Матрас;Mattress
Гвоздь;Nail
Пуховое одеяло;Duvet
Гаечный ключ;Wrench
Простыня;Sheet
Плоскогубцы;Pliers
Наволочка;Pillowcase
Торцевой ключ;Socket wrench
Будильник;Alarm clock
Зубило / Стамеска;Chisel
Ручка ящика;Drawer handle
Поток;Stream
Выключатель света;Light switch
Листовка;Leaflet
Удлинитель;Power strip
Пень;Stump
Пульт;Remote
Шип;Thorn
Коврик у двери;Doormat
Почка (растения);Bud
Шкаф;Closet
Чайник;Kettle
Петля (дверная);Hinge
Сковорода;Pan
Кронштейн полки;Shelf bracket
Ложка;Spoon
Крючок настенный;Wall hook
Духовка;Oven
Покрывало;Bedspread
Холодильник;Fridge
Половник;Ladle
Дуршлаг;Strainer
Лопатка;Spatula
Ящик;Drawer
Разделочная доска;Cutting board
Топор;Axe
Заварочный чайник;Teapot
Лопата;Shovel
Фартук;Apron
Кастрюля;Pot
Поднос;Tray
Стул;Chair
Салфетка;Napkin
Пила;Saw
Кувшин;Pitcher
Опилки;Sawdust
Солонка;Salt shaker
Тарелка;Plate
Перечница;Pepper grinder
Вилка;Fork
Ролик для чистки;Lint roller
Скребок / Стеклоочиститель;Squeegee
Топорик кухонный;Cleaver
Отбеливатель;Bleach
Столешница;Countertop
Кондиционер для белья;Fabric softener
Кружка;Cup
Бельевая верёвка;Washing line
Миска;Bowl
Сетчатый мешок;Mesh bag
Кастрюля / Запеканка;Casserole
Гладильная доска;Ironing board
Лестница;Ladder
Щётка для пыли;Feather duster
Киянка;Mallet
Мусорный пакет;Garbage bag
Болт;Bolt
Освежитель воздуха;Air freshener
Расчёска;Comb
Потолок;Ceiling
Швабра;Mop
Пол;Floor
Ведро;Bucket
Перила;Railing
Верёвка;Rope
Перила лестницы;Banister
Ткань / тряпка;Cloth
Ступенька;Step
Пылесос;Vacuum cleaner
Рамка;Frame
Мансардное окно;Skylight
Картина;Painting
Ворота;Gate
Ваза;Vase
Замок;Lock
Подсвечник;Candle holder
Отмычка;Lockpick
Термостат;Thermostat
Лампочка;Light bulb
Официант;Waiter
Регулятор яркости;Dimmer
Счёт;Bill
Мусорное ведро;Trash can
Чаевые;Tip
Столовые приборы;Tableware
Туалет;Restroom
