Как дела?;How’s it going?
Что нового?;What’s up?
Давно не виделись!;Long time no see!
Я не понимаю.;I don’t get it.
Это логично.;It makes sense.
Давай сделаем это.;Let’s do it.
Не переживай.;No worries.
Не спеши.;Take your time.
Мне подходит.;Sounds good to me.
Я не уверен.;I’m not sure.
Мне кофе, пожалуйста.;I’d like a coffee, please.
Можно меню?;Can I have the menu?
Что вы посоветуете?;What do you recommend?
Я возьму это.;I’ll take this one.
Сколько это стоит?;How much is it?
Это слишком дорого.;That’s too expensive.
Можно заплатить картой?;Can I pay by card?
Сдачу оставьте себе.;Keep the change.
Можно пакет, пожалуйста?;Can I have a bag, please?
Я вернусь позже.;I’ll come back later.
Где туалет?;Where’s the restroom?
Как добраться до аэропорта?;How do I get to the airport?
Мне нужно такси.;I need a taxi.
Сколько это займет?;How long does it take?
Можете показать на карте?;Can you show me on the map?
Это далеко отсюда?;Is it far from here?
Во сколько заселение?;What time is check-in?
У меня бронь.;I have a reservation.
Вы можете позвонить позже?;Can you call me later?
Я здесь в отпуске.;I’m here on vacation.
Мне нужна помощь.;I need help.
Вызовите полицию!;Call the police!
Я потерял паспорт.;I lost my passport.
Мне нужен врач.;I need a doctor.
Мне нехорошо.;I don’t feel well.
Где находится больница?;Where’s the hospital?
Меня ограбили.;I’ve been robbed.
Вы можете мне помочь?;Can you help me, please?
Я заблудился.;I can’t find my way.
Здесь безопасно?;Is it safe here?
Приятно познакомиться.;Nice to meet you.
Как проходит твой день?;How’s your day going?
Мне нравится твой стиль.;I like your style.
Чем занимаешься?;What do you do for a living?
Я просто смотрю.;I’m just looking around.
Это интересно.;That’s interesting.
Можете повторить?;Could you repeat that?
Извините, я не расслышал.;Sorry, I didn’t catch that.
Давай будем на связи.;Let’s keep in touch.
Хорошего дня!;Have a good one!
